genus	in_phaz_set	phaz_count	known_phac
Sinisalibacter	True	1	False
Sinorhizobium	True	6	True
Skermanella	True	3	False
Sneathiella	True	5	False
Solihabitans	True	1	False
Solilutibacter	True	9	False
Solimicrobium	True	1	False
Solirhodobacter	True	1	False
Solisphingomonas	True	2	False
Spectribacter	True	1	False
Sphaerisporangium	True	1	False
Sphaerotilus	True	13	False
Sphingobium	True	28	False
Sphingobium_A	True	1	False
Sphingomicrobium	True	26	False
Sphingomonas	True	24	False
Sphingomonas_H	True	1	False
Sphingomonas_I	True	4	False
Sphingomonas_O	True	5	False
Sphingopyxis	True	7	False
Sphingorhabdus_B	True	5	False
Sphingosinicella	True	1	False
Spirillospora	True	8	False
Stenotrophomonas	True	93	False
Stenotrophomonas_A	True	6	False
Steroidobacter	True	1	False
Stigonema	True	1	False
Streptacidiphilus	True	1	False
Streptomyces	True	47	False
Stutzerimonas	True	1	False
Sulfidibacter	True	1	False
Sulfitobacter	True	1	False
Sulfurivermis	True	2	False
TMED2	True	1	False
TMED27	True	3	False
TMED8	True	2	False
Tabrizicola	True	1	False
Tagaea	True	11	False
Tahibacter	True	8	False
Taklimakanibacter	True	3	False
Tardiphaga	True	9	False
Tateyamaria	True	1	False
Tectiglobus	True	3	False
Telluria	True	62	False
Telluria_A	True	16	False
Telmatobacter	True	1	False
Tepidicella	True	1	False
Tepidimonas	True	4	False
Teredinibacter	True	1	False
Terripilifer	True	9	False
Thalassobaculum	True	1	False
Thalassococcus_A	True	1	False
Thalassococcus_B	True	1	False
Thalassospira	True	6	False
Thauera	True	2	False
Thermaurantiacus	True	1	False
Thermohalobaculum	True	8	False
Thermomonas	True	25	False
Thioclava	True	1	False
Thiomonas	True	10	False
Thiomonas_A	True	20	False
Tianweitania	True	3	False
Tibeticola	True	1	False
Trebonia	True	1	False
Trinickia	True	46	False
Trinickia_A	True	3	False
Tropicimonas	True	1	False
Trujillonella	True	2	False
Tsuneonella	True	2	False
UBA11164	True	1	False
UBA11222	True	1	False
UBA11873	True	1	False
UBA1479	True	1	False
UBA1573	True	2	False
UBA1664	True	2	False
UBA1672	True	1	False
UBA1908	True	1	False
UBA2334	True	7	False
UBA2400	True	1	False
UBA2705	True	2	False
UBA2767	True	2	False
UBA3064	True	3	False
UBA4615	True	3	False
UBA4656	True	7	False
UBA5216	True	2	False
UBA5336	True	2	False
UBA5701	True	1	False
UBA6145	True	2	False
UBA6187	True	1	False
UBA7672	True	7	False
UBA7887	True	2	False
UBA9145	True	1	False
UBA9664	True	1	False
UBA981	True	1	False
UKL13-2	True	28	False
UM-FILTER-47-13	True	1	False
URHD0088	True	2	False
Undibacterium	True	20	False
Undibacterium_A	True	1	False
Usitatibacter	True	13	False
VAYN01	True	1	False
VAZQ01	True	32	False
VBCG01	True	6	False
VBCK01	True	5	False
VBDL01	True	1	False
VBDM01	True	1	False
VGDP01	True	1	False
VMCJ01	True	1	False
VXMT01	True	1	False
Variibacter	True	1	False
Variovorax	True	136	True
Variovorax_A	True	1	False
Venatoribacter	True	2	False
Verticiella	True	5	False
Vineibacter	True	3	False
Vitreimonas	True	11	False
Vreelandella	True	1	False
WHUA01	True	2	False
Wautersia	False	0	True
Wenzhouxiangella	True	11	False
Xanthobacter	True	11	False
Xanthomonas	True	34	False
Xanthomonas_A	True	13	False
Xanthomonas_B	True	3	False
Xenophilus	True	9	False
Xylophilus	True	6	False
Yanghanlia	True	3	False
Yoonia	True	1	False
Yuhushiella	True	1	False
Z2-YC6860	True	9	False
ZC4RG25	True	1	False
ZC4RG30	True	1	False
Zavarzinia	True	3	False
Zeimonas	True	11	False
Zoogloea	True	6	False
Zwartia	True	10	False
