genus	in_phaz_set	phaz_count	known_phac
CAYNWR01	True	1	False
CAYOJP01	True	1	False
CAYRGG01	True	1	False
CAYSGL01	True	1	False
CAYSMM01	True	1	False
CAYUYV01	True	1	False
CAYXSX01	True	1	False
CAZAAW01	True	1	False
CAZCBS01	True	1	False
CAZEFK01	True	1	False
CAZLPZ01	True	3	False
CAZNPA01	True	1	False
CAZRAL01	True	1	False
CAZRRW01	True	1	False
CAZVAR01	True	1	False
CAZVMY01	True	1	False
CAZXYL01	True	1	False
CAZZHG01	True	1	False
CAZZKE01	True	1	False
CBDBEU01	True	1	False
CBDCUY01	True	1	False
CBDCVD01	True	1	False
CBDDFQ01	True	1	False
CBDHHC01	True	1	False
CBJLQC01	True	1	False
Caballeronia	True	73	False
Caedimonas	True	1	False
Caldimonas	True	17	False
Calidifontimicrobium	True	1	False
Camelimonas	True	1	False
Candidimonas	True	1	False
Casimicrobium	True	7	False
Castellaniella	True	15	False
Catenulispora	True	1	False
Caulobacter	True	7	False
Celeribacter	True	1	False
Cellvibrio	True	1	False
Chelativorans	True	3	False
Chelatococcus_A	True	1	False
Chiayiivirga	True	1	False
Chitinasiproducens	True	1	False
Chitinimonas	True	2	False
Chromobacterium	False	0	True
Chthonobacter	True	1	False
Citreicoccus	True	1	False
Cognatiluteimonas	True	11	False
Cognatilysobacter	True	7	False
Cohaesibacter	True	1	False
Collimonas	True	11	False
Comamonas	True	45	True
Comamonas_C	True	5	False
Comamonas_E	True	1	False
Comamonas_F	True	2	False
Constrictibacter	True	1	False
Corallococcus	True	1	False
Coralloluteibacterium	True	1	False
Croceibacterium	True	2	False
Croceibacterium_A	True	2	False
Croceibacterium_B	True	4	False
Croceicoccus	True	1	False
Crossiella	True	1	False
Cupriavidus	True	148	True
Curvibacter	True	9	False
Cypionkella	True	2	False
DAHUYF01	True	9	False
DAHVFK01	True	7	False
DAICZL01	True	1	False
DAINBQ01	True	1	False
DAIODI01	True	1	False
DAISWF01	True	1	False
DAITAZ01	True	1	False
DAITMV01	True	1	False
DAOMOD01	True	1	False
DAOTEJ01	True	1	False
DASPLX01	True	2	False
DASPPM01	True	1	False
DASPTH01	True	1	False
DASRBA01	True	1	False
DASSBG01	True	4	False
DASTCZ01	True	1	False
DASTRU01	True	1	False
DASUAS01	True	5	False
DASUBN01	True	1	False
DASULK01	True	1	False
DASWJZ01	True	1	False
DASWOJ01	True	1	False
DASWYT01	True	1	False
DASXMT01	True	1	False
DASXQK01	True	1	False
DASYHS01	True	1	False
DASZHJ01	True	1	False
DATAAP01	True	1	False
DATARH01	True	9	False
DATBLQ01	True	2	False
DATCJU01	True	1	False
DATCSE01	True	4	False
DATCVA01	True	1	False
DATEDA01	True	3	False
DATEVL01	True	1	False
DATEZO01	True	1	False
DATGZW01	True	1	False
DATJCV01	True	3	False
DATJLY01	True	7	False
DATJPD01	True	1	False
DATKEK01	True	2	False
DATKPC01	True	1	False
DATKRB01	True	1	False
DATKZM01	True	1	False
DATLFA01	True	1	False
DATLGW01	True	1	False
DSNY01	True	3	False
DUZF01	True	2	False
DYIB01	True	1	False
Dactylosporangium	True	1	False
Delftia	False	0	True
Denitratimonas	True	10	False
Denitratisoma	True	1	False
Derxia	True	1	False
Desertibaculum	True	1	False
Desulfobacillus	True	8	False
Desulfobacter	True	1	False
Desulforhopalus_A	True	1	False
Diaphorobacter	True	2	False
Diaphorobacter_A	True	3	False
Dichotomicrobium	True	3	False
Dokdonella	True	13	False
Dokdonella_A	True	20	False
Dongia	True	4	False
Dongia_A	True	3	False
Dongia_B	True	1	False
Dyella	True	17	False
Dyella_A	True	3	False
Dyella_B	True	10	False
Dyella_C	True	2	False
Dyella_D	True	6	False
Egaibacter	True	4	False
Eilatimonas	True	1	False
Elstera	True	1	False
Emcibacter	True	1	False
Ensifer_A	True	2	False
Enterovibrio	True	2	False
Enterovirga	True	2	False
Eoetvoesia	True	2	False
Erythrobacter	True	6	False
Euryhalocaulis	True	1	False
Eutrophomonas	True	1	False
Eutrophovita	True	1	False
Exilibacterium	True	1	False
Extensimonas	True	2	False
FEB-7	True	6	False
Falsiroseomonas	True	1	False
Fen-1364	True	1	False
Ferirhizobium	True	1	False
Ferranicluibacter	True	1	False
Ferrovibrio	True	15	False
Filomicrobium	True	6	False
Flavimaribacter	True	3	False
Flavisphingomonas	True	1	False
Fodinicola	True	1	False
Fodinicurvata	True	1	False
Foliimonas	True	1	False
Frateuria	True	1	False
Frateuria_A	True	9	False
Frateuria_B	True	1	False
Fusibacter	True	1	False
G016756615	True	1	False
G020354665	True	1	False
G032773895	True	1	False
G051903925	True	1	False
G963691835	True	1	False
G965603855	True	1	False
GAS188	True	1	False
GCA-002840015	True	3	False
GCA-013693735	True	2	False
GCA-2708415	True	1	False
GCA-2717185	True	1	False
GCA-2721365	True	1	False
GCA-2731375	True	3	False
GJ-E10	True	2	False
GSA-30	True	1	False
GWB1-36-13	True	1	False
Ga0074130	True	2	False
Ga0077523	True	13	False
Ga0077527	True	7	False
Ga0077530	True	7	False
Ga0077548	True	5	False
Ga0077555	True	5	False
Gellertiella	True	1	False
Geminicoccus	True	2	False
Gemmatimonas	True	1	False
Geodermatophilus	True	1	False
Georhizobium	True	1	False
Glaciecola	True	3	False
Glaciimonas	True	2	False
Govanella	True	1	False
Granulosicoccus	True	2	False
HXMU1428-3	True	1	False
Hahnella	True	6	False
Halioxenophilus	True	1	False
Haliscomenobacter	True	2	False
Halomonas	True	3	False
Halospina	True	1	False
Heliomarina	True	1	False
Henriciella	True	7	False
Herbaspirillum	True	57	False
Hoeflea	True	7	False
Hoeflea_A	True	4	False
Hongsoonwoonella	True	1	False
Hyalangium	True	1	False
Hydrogenophaga	True	68	True
Hydromonas	True	2	False
Hylemonella	True	15	False
Hyphobacterium	True	3	False
Hyphococcus	True	2	False
Hyphomicrobium_A	True	15	False
Hyphomicrobium_B	True	18	False
Hyphomicrobium_C	True	9	False
Hyphomonas	True	14	False
Ideonella	True	27	False
Ideonella_A	True	9	False
Imbroritus	True	2	False
Immundisolibacter	True	1	False
Inhella	True	7	False
Inquilinus	True	2	False
J084	True	1	False
JAAAOG01	True	1	False
JAABQG01	True	2	False
JAABQT01	True	5	False
JAABRB01	True	2	False
JAABSQ01	True	1	False
JAABSX01	True	1	False
JAAFHS01	True	1	False
JAAFIP01	True	4	False
JAAFIW01	True	1	False
JAALLB01	True	1	False
JAATFS01	True	2	False
JAATGI01	True	5	False
JABDJG01	True	1	False
JABFRJ01	True	2	False
JABFWF01	True	1	False
JABJAG01	True	2	False
JABMNT01	True	1	False
JABSSF01	True	1	False
JACADY01	True	1	False
JACCZX01	True	11	False
JACDQM01	True	2	False
JACFNC01	True	1	False
JACKII01	True	2	False
JACKJK01	True	1	False
JACKJP01	True	2	False
JACKMZ01	True	1	False
JACKOX01	True	1	False
JACMQX01	True	5	False
JACPVY01	True	1	False
JACQAI01	True	1	False
JACQAP01	True	13	False
JACQFZ01	True	1	False
JACQWY01	True	1	False
JACRFY01	True	1	False
JACRPC01	True	1	False
JACXVD01	True	1	False
JADFCQ01	True	1	False
JADFZP01	True	1	False
JADGRA01	True	1	False
JADGRQ01	True	1	False
JADJOM01	True	2	False
JADJPY01	True	2	False
JADJWR01	True	4	False
JADJYF01	True	2	False
JADKFD01	True	4	False
JADYYQ01	True	1	False
JADZAI01	True	2	False
JAEMQF01	True	5	False
JAEUMD01	True	3	False
JAEUMG01	True	2	False
JAEUMY01	True	1	False
JAEUNM01	True	1	False
JAEUNX01	True	1	False
JAEUOS01	True	6	False
JAEUPI01	True	7	False
JAFAFE01	True	1	False
JAFALK01	True	3	False
JAFASC01	True	1	False
JAFAXD01	True	5	False
JAFAZJ01	True	1	False
JAFCUW01	True	10	False
JAFECT01	True	1	False
JAFEEF01	True	1	False
JAFEFJ01	True	1	False
JAFHCF01	True	1	False
JAFKFH01	True	1	False
JAFKFI01	True	1	False
JAFKKS01	True	1	False
JAGKXB01	True	2	False
JAGOEZ01	True	1	False
JAGOMX01	True	1	False
JAGQGZ01	True	1	False
JAGVSR01	True	7	False
JAGVSZ01	True	3	False
JAGWQR01	True	1	False
JAGXFR01	True	2	False
JAHBZM01	True	3	False
JAHCJQ01	True	1	False
JAHDDY01	True	1	False
JAHEAO01	True	1	False
JAHECR01	True	1	False
JAHFQI01	True	1	False
JAHQVI01	True	4	False
JAIOIW01	True	1	False
JAIRMZ01	True	1	False
JAITIJ01	True	1	False
JAITWN01	True	1	False
JAIZVZ01	True	2	False
